@relation localiz

@attribute a1 {A01,A02,A03,A04,A05,B01,B02,B03,B04,B05,C01,C02,C03,C04,C05,D01,D02,D03,D04,D05,E01,E02,E03,E04,E05}
@attribute a2 {010-000-024-033,020-000-033-111,020-000-032-221,010-000-030-096}
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute binaryClass {P,N}

@data
C03,010-000-030-096,6.3379E17,3.267011,0.716594,0.082945,P
E03,010-000-030-096,6.3379E17,1.247652,1.376424,-0.062631,N
B05,010-000-030-096,6.3379E17,3.332168,0.812943,0.222396,P
D01,020-000-033-111,6.3379E17,2.418104,1.886857,1.19291,N
E03,020-000-032-221,6.3379E17,1.912131,1.57212,0.903315,N
A02,020-000-032-221,6.3379E17,2.755379,1.209332,0.831379,N
C01,020-000-033-111,6.3379E17,1.06717,2.385775,0.39794,P
B02,010-000-024-033,6.3379E17,3.248477,1.441229,0.323738,N
D03,010-000-030-096,6.3379E17,2.695427,2.06974,0.315698,P
D04,010-000-030-096,6.3379E17,2.538642,2.464167,0.473993,P
B01,020-000-032-221,6.3379E17,1.591434,2.443448,0.411445,P
B04,010-000-024-033,6.3379E17,3.43012,1.640494,0.25655,N
B01,020-000-033-111,6.3379E17,4.641989,1.35854,0.372288,P
A02,010-000-024-033,6.3379E17,2.622343,1.960106,0.732259,P
A03,020-000-033-111,6.3379E17,3.039744,1.234771,1.067347,N
A02,020-000-032-221,6.3379E17,4.303305,0.981137,0.574399,P
E02,010-000-024-033,6.3379E17,2.161864,2.107197,-0.106765,P
B02,010-000-024-033,6.3379E17,2.61278,2.231742,0.454882,P
B02,010-000-024-033,6.3379E17,3.140682,1.395181,0.471722,P
D01,010-000-024-033,6.3379E17,3.09903,0.942498,0.097146,P
D01,020-000-032-221,6.3379E17,3.484727,2.231706,1.218648,P
A04,020-000-032-221,6.3379E17,4.107239,1.048815,0.512081,P
E03,020-000-032-221,6.3379E17,1.559572,2.086436,0.117075,P
C02,020-000-033-111,6.3379E17,2.584876,1.654458,1.257523,N
D05,020-000-032-221,6.3379E17,1.546444,2.040362,0.398536,P
B01,010-000-024-033,6.3379E17,1.580761,2.308992,-0.070311,P
E01,010-000-024-033,6.3379E17,3.815386,1.486787,0.089416,P
B01,010-000-024-033,6.3379E17,3.806805,1.646587,0.13481,N
A02,020-000-033-111,6.3379E17,2.865172,1.657739,1.026249,N
C04,010-000-024-033,6.3379E17,1.719897,1.755805,0.145353,N
E01,020-000-032-221,6.3379E17,2.964635,1.616247,0.789978,N
D01,010-000-030-096,6.3379E17,2.668964,1.9889,0.265448,P
B04,020-000-032-221,6.3379E17,1.60159,2.358231,0.510993,P
D05,020-000-033-111,6.3379E17,2.689885,1.735138,1.47715,N
B04,010-000-024-033,6.3379E17,3.586341,1.348949,0.298132,P
E03,020-000-033-111,6.3379E17,1.540755,1.613573,1.373541,N
B03,010-000-024-033,6.3379E17,1.272304,2.591007,0.07729,P
D05,010-000-030-096,6.3379E17,3.489746,0.990727,0.312812,P
E05,020-000-032-221,6.3379E17,2.849193,1.774053,0.600004,N
E02,020-000-033-111,6.3379E17,0.650927,1.141814,0.377744,P
B05,010-000-030-096,6.3379E17,3.089452,1.276643,0.349258,P
D05,010-000-024-033,6.3379E17,2.996248,1.366564,0.520266,N
D04,020-000-032-221,6.3379E17,3.284341,2.361339,1.061458,P
E04,020-000-032-221,6.3379E17,3.611537,2.251408,1.058439,P
C03,020-000-032-221,6.3379E17,4.017114,1.109684,0.42305,P
D03,010-000-030-096,6.3379E17,2.706931,2.067377,0.316967,P
D04,020-000-033-111,6.3379E17,4.624514,1.141046,0.399738,P
C03,020-000-032-221,6.3379E17,4.163185,1.237543,0.023633,P
C01,020-000-032-221,6.3379E17,3.102925,1.931885,0.816564,N
D03,020-000-033-111,6.3379E17,0.655248,1.803374,1.223426,N
B02,010-000-024-033,6.3379E17,2.641003,2.206256,0.539538,P
D02,020-000-033-111,6.3379E17,4.771935,1.445266,0.311523,P
D02,010-000-024-033,6.3379E17,2.992387,1.730346,0.112549,P
C02,010-000-024-033,6.3379E17,2.753578,2.333902,0.528469,P
A02,020-000-033-111,6.3379E17,4.568104,0.883391,0.570171,P
C05,010-000-024-033,6.3379E17,3.83056,1.58503,0.434957,P
E02,010-000-030-096,6.3379E17,2.484352,2.225587,0.500921,P
D02,010-000-030-096,6.3379E17,3.089034,1.166827,0.403782,P
A05,020-000-032-221,6.3379E17,1.470544,2.16916,0.355245,P
D03,020-000-033-111,6.3379E17,1.787323,1.716862,1.498699,N
C01,010-000-024-033,6.3379E17,3.289511,1.63718,0.236463,P
A03,010-000-030-096,6.3379E17,0.987759,1.223136,-0.025923,P
C01,010-000-030-096,6.3379E17,3.563413,1.698655,0.402852,P
A02,020-000-033-111,6.3379E17,4.540255,0.903104,0.503743,P
B01,010-000-030-096,6.3379E17,1.776541,1.355484,-0.054269,N
E03,020-000-032-221,6.3379E17,3.132059,2.106968,0.278554,P
D03,020-000-032-221,6.3379E17,0.993642,1.395935,1.174505,N
C01,020-000-032-221,6.3379E17,2.198957,1.405475,0.63872,N
B05,010-000-024-033,6.3379E17,3.297011,1.415239,0.410588,P
B03,020-000-032-221,6.3379E17,1.628956,2.333386,0.657843,P
D05,020-000-033-111,6.3379E17,3.81842,1.576577,0.396294,P
A04,020-000-032-221,6.3379E17,1.763491,2.444036,0.28761,P
E01,020-000-033-111,6.3379E17,2.17918,1.52531,1.367852,N
C03,010-000-024-033,6.3379E17,3.528315,1.28483,0.606938,P
B04,010-000-024-033,6.3379E17,3.223507,0.965943,0.423347,P
C04,010-000-030-096,6.3379E17,3.340622,1.540385,0.622378,P
D04,020-000-033-111,6.3379E17,1.04428,2.440807,0.427773,P
D02,010-000-030-096,6.3379E17,2.199448,1.257362,0.138158,N
C04,010-000-024-033,6.3379E17,2.420905,1.825774,0.018703,N
D03,010-000-030-096,6.3379E17,2.697996,2.050916,0.257653,P
A01,010-000-030-096,6.3379E17,2.195951,1.37738,0.182836,N
C01,020-000-032-221,6.3379E17,3.210105,1.646078,0.75393,N
B05,020-000-033-111,6.3379E17,1.40187,2.566284,0.414001,P
E01,010-000-024-033,6.3379E17,4.052913,1.045252,0.177986,P
C04,010-000-024-033,6.3379E17,2.808389,2.350553,0.231304,P
B05,010-000-024-033,6.3379E17,2.657176,1.107999,0.382222,N
B04,020-000-032-221,6.3379E17,4.20763,1.622005,-0.029795,P
B05,020-000-033-111,6.3379E17,2.612922,1.833528,0.130461,P
D05,020-000-033-111,6.3379E17,1.113167,2.291068,0.448907,P
A01,010-000-024-033,6.3379E17,3.123405,1.412314,0.46165,P
D02,010-000-024-033,6.3379E17,2.739712,2.146712,0.503581,P
B02,020-000-033-111,6.3379E17,2.245889,1.87141,1.323465,N
A05,020-000-033-111,6.3379E17,1.301834,2.485304,0.29316,P
E04,010-000-030-096,6.3379E17,3.38456,1.38823,0.450291,P
D02,010-000-030-096,6.3379E17,2.51885,2.330673,0.518906,P
C04,010-000-030-096,6.3379E17,2.344759,2.39387,0.372223,P
E01,020-000-033-111,6.3379E17,1.07898,2.482144,0.151489,P
C05,020-000-032-221,6.3379E17,2.238217,1.500093,1.069581,N
E01,010-000-024-033,6.3379E17,3.361532,1.226635,0.386307,N
D04,010-000-024-033,6.3379E17,2.486587,2.697981,0.533908,P
C02,010-000-024-033,6.3379E17,2.949115,1.561563,-0.017556,N
E02,010-000-024-033,6.3379E17,2.103411,2.0441,0.051976,N
E01,010-000-030-096,6.3379E17,2.232168,1.705019,0.177649,N
D03,010-000-024-033,6.3379E17,2.912507,2.416983,0.54356,P
B02,020-000-032-221,6.3379E17,1.678904,1.95831,0.328942,P
E05,020-000-033-111,6.3379E17,0.950632,1.382657,1.262948,N
A02,020-000-033-111,6.3379E17,1.151376,2.259201,0.348827,P
A03,010-000-024-033,6.3379E17,3.297433,1.367757,0.368685,P
C03,020-000-033-111,6.3379E17,4.795663,1.371415,0.464984,P
E01,010-000-030-096,6.3379E17,2.306222,2.019753,0.04473,P
A05,010-000-030-096,6.3379E17,2.60471,1.56761,0.296203,N
A04,020-000-033-111,6.3379E17,4.333837,1.074259,0.232769,P
B05,020-000-033-111,6.3379E17,4.59187,0.840805,0.499133,P
E02,020-000-032-221,6.3379E17,4.663033,1.106161,-0.055808,P
D03,020-000-032-221,6.3379E17,1.592607,2.037586,0.449438,P
E02,010-000-030-096,6.3379E17,3.424228,1.315429,0.428087,P
E02,010-000-030-096,6.3379E17,0.889452,1.691046,0.911249,N
C04,020-000-032-221,6.3379E17,1.7819,2.231595,0.187559,P
D05,020-000-033-111,6.3379E17,2.869577,2.326867,1.292658,N
D01,010-000-030-096,6.3379E17,2.553303,1.765564,0.085043,N
D01,020-000-032-221,6.3379E17,2.307833,1.705761,0.734713,N
D02,020-000-033-111,6.3379E17,1.898278,1.522726,1.401653,N
A03,020-000-032-221,6.3379E17,1.669956,2.418431,0.399932,P
D01,020-000-032-221,6.3379E17,3.94142,1.626134,0.550848,P
A02,020-000-033-111,6.3379E17,2.284981,1.949584,1.039587,N
A02,020-000-032-221,6.3379E17,1.616952,2.387413,0.365069,P
D03,020-000-032-221,6.3379E17,1.462647,1.601163,0.903712,N
B01,010-000-030-096,6.3379E17,2.12758,1.779051,0.019815,N
B01,010-000-024-033,6.3379E17,3.156519,1.412252,0.392625,P
E04,020-000-033-111,6.3379E17,3.758102,1.749185,1.262525,N
E05,020-000-032-221,6.3379E17,3.581248,2.246618,1.107218,P
C05,010-000-024-033,6.3379E17,1.330711,1.180891,-0.170514,N
C04,020-000-032-221,6.3379E17,1.785342,2.293219,0.179942,P
D02,010-000-030-096,6.3379E17,2.992351,0.886391,-0.016362,P
E04,010-000-024-033,6.3379E17,2.80804,2.404377,0.326709,P
E01,010-000-024-033,6.3379E17,3.840389,1.467933,0.152516,P
E03,020-000-032-221,6.3379E17,1.643721,1.804667,0.863555,N
B01,020-000-033-111,6.3379E17,4.772998,0.544237,1.470157,P
B01,010-000-030-096,6.3379E17,1.801453,1.240589,-0.009277,N
A05,010-000-030-096,6.3379E17,2.446759,2.1159,0.238576,P
E05,020-000-033-111,6.3379E17,0.993446,1.206751,1.234473,N
E04,020-000-033-111,6.3379E17,3.158161,1.710962,1.197075,N
B01,020-000-032-221,6.3379E17,1.582309,2.426544,0.367332,P
E05,010-000-030-096,6.3379E17,3.047586,1.983015,0.377502,N
B01,020-000-033-111,6.3379E17,1.424082,2.49751,0.262932,P
C05,010-000-030-096,6.3379E17,2.393575,2.1174,0.368458,P
E04,010-000-024-033,6.3379E17,3.065323,1.244073,0.170573,N
B01,020-000-032-221,6.3379E17,4.201529,0.863645,0.095099,P
B02,020-000-033-111,6.3379E17,2.082188,1.808494,1.120402,N
C02,010-000-030-096,6.3379E17,2.119129,1.874365,0.425717,N
E03,020-000-032-221,6.3379E17,3.272686,1.895248,0.612651,N
E03,020-000-032-221,6.3379E17,1.534185,2.601259,0.290586,P
C01,010-000-030-096,6.3379E17,2.885714,1.296992,0.633255,N
B01,020-000-032-221,6.3379E17,4.203238,0.904356,0.245696,P
E03,010-000-024-033,6.3379E17,2.753131,2.602411,0.407746,P
D05,010-000-024-033,6.3379E17,2.422742,1.638645,-0.000415,P
E04,010-000-030-096,6.3379E17,2.209851,1.359773,0.018027,N
D01,020-000-032-221,6.3379E17,3.88555,1.203321,0.273442,P
A03,010-000-030-096,6.3379E17,3.248617,1.459181,0.39722,P
B05,010-000-030-096,6.3379E17,3.37378,0.952481,0.229732,P
D04,020-000-033-111,6.3379E17,1.471318,1.32459,1.501841,N
E01,020-000-033-111,6.3379E17,3.640443,1.734068,1.575888,N
C03,010-000-030-096,6.3379E17,1.167264,0.683177,0.201304,P
B05,010-000-024-033,6.3379E17,2.686184,2.356835,0.317146,P
C05,010-000-024-033,6.3379E17,3.106335,1.866147,-0.410158,N
A02,020-000-032-221,6.3379E17,2.673872,1.712493,0.860609,N
E01,020-000-033-111,6.3379E17,5.1683,1.797451,0.575905,P
D03,020-000-033-111,6.3379E17,4.40714,1.269325,0.457745,P
C03,020-000-032-221,6.3379E17,1.924193,1.516725,1.002925,N
D05,020-000-032-221,6.3379E17,3.869559,1.99663,0.815285,N
D04,020-000-032-221,6.3379E17,1.50828,2.148676,0.356247,P
E04,020-000-032-221,6.3379E17,3.460453,1.283337,0.879693,N
B05,020-000-033-111,6.3379E17,3.441597,1.847058,1.10216,N
A02,020-000-033-111,6.3379E17,1.104668,2.191199,0.282034,P
E04,010-000-030-096,6.3379E17,3.410095,1.427504,0.531853,P
D02,010-000-024-033,6.3379E17,2.916919,2.395515,0.450669,N
B03,020-000-033-111,6.3379E17,1.912127,1.615382,1.136129,N
C02,010-000-030-096,6.3379E17,2.700886,2.396451,0.193583,P
C04,010-000-030-096,6.3379E17,2.399881,2.492328,0.281632,P
C04,020-000-033-111,6.3379E17,1.915524,1.874706,1.083075,N
E03,020-000-032-221,6.3379E17,1.958148,2.022871,0.727862,N
C02,020-000-033-111,6.3379E17,1.125788,2.370494,0.640004,P
D04,010-000-024-033,6.3379E17,3.550729,2.021031,0.222944,N
A05,010-000-030-096,6.3379E17,2.037089,2.153136,0.227418,P
B03,020-000-032-221,6.3379E17,4.289088,0.580829,-0.258601,P
B01,010-000-024-033,6.3379E17,2.195993,1.408017,-0.027858,N
D03,020-000-033-111,6.3379E17,4.379746,1.301311,0.320643,P
E02,020-000-032-221,6.3379E17,4.395116,1.352367,0.130801,P
D05,020-000-032-221,6.3379E17,4.34727,1.176125,0.088301,P
A03,010-000-024-033,6.3379E17,2.119828,2.268101,0.564012,P
C03,020-000-032-221,6.3379E17,4.413107,1.843245,1.143266,N
E03,010-000-030-096,6.3379E17,3.413084,1.271893,0.066496,P
B02,020-000-032-221,6.3379E17,1.250017,1.680157,0.889466,N
D05,010-000-030-096,6.3379E17,2.589521,2.361843,0.348242,P
E05,020-000-033-111,6.3379E17,1.354992,2.30644,0.452636,P
C04,010-000-030-096,6.3379E17,2.569698,2.52172,0.596888,P
A05,020-000-032-221,6.3379E17,2.741891,1.547685,0.665213,N
C03,010-000-024-033,6.3379E17,3.317704,1.125536,0.857354,P
D04,020-000-033-111,6.3379E17,3.000268,2.036052,1.438544,N
C02,020-000-032-221,6.3379E17,1.784548,2.245029,0.258915,P
C05,020-000-033-111,6.3379E17,0.910847,2.218559,0.502333,P
D02,020-000-033-111,6.3379E17,2.431461,1.625349,1.296112,N
C02,010-000-030-096,6.3379E17,3.710254,1.263566,0.443359,P
C03,010-000-024-033,6.3379E17,2.805756,2.643807,0.170678,P
A01,020-000-032-221,6.3379E17,0.738824,1.972095,0.652907,P
A02,010-000-030-096,6.3379E17,2.357386,1.149318,0.124094,P
D05,010-000-030-096,6.3379E17,2.862467,1.46933,-0.290556,P
A02,010-000-030-096,6.3379E17,2.737567,2.307448,0.700904,P
C04,020-000-033-111,6.3379E17,4.613589,1.447111,0.296464,P
E04,020-000-033-111,6.3379E17,1.034909,2.222585,0.595032,P
C04,010-000-024-033,6.3379E17,1.185152,1.235876,0.007838,P
E04,010-000-024-033,6.3379E17,2.720998,2.306306,0.360067,P
C04,010-000-030-096,6.3379E17,2.22542,1.91647,0.217201,N
D02,020-000-032-221,6.3379E17,4.483853,0.916963,0.168963,P
A05,020-000-033-111,6.3379E17,1.111994,2.669851,0.362884,P
A02,010-000-030-096,6.3379E17,3.209456,1.267162,0.461278,N
D02,010-000-030-096,6.3379E17,2.497617,2.334223,0.515472,P
D03,010-000-024-033,6.3379E17,2.905314,2.444289,0.511305,P
A02,010-000-024-033,6.3379E17,2.458011,2.59778,0.378745,P
E03,010-000-024-033,6.3379E17,1.801924,1.560902,-0.217384,N
C01,020-000-032-221,6.3379E17,2.638216,1.828808,0.768092,N
C01,020-000-032-221,6.3379E17,1.982311,1.82637,0.818184,N
B04,010-000-030-096,6.3379E17,2.825875,2.235198,0.579846,P
D01,010-000-024-033,6.3379E17,1.940776,1.98427,0.249257,N
E01,020-000-032-221,6.3379E17,1.744947,1.429812,0.815735,N
B05,010-000-030-096,6.3379E17,2.383567,1.370382,0.207951,N
D04,010-000-024-033,6.3379E17,2.927563,2.179739,0.606409,P
A04,010-000-030-096,6.3379E17,2.604822,2.622041,0.62264,P
C04,010-000-024-033,6.3379E17,2.747382,2.334913,0.216633,P
B04,010-000-024-033,6.3379E17,3.402583,1.333519,0.789536,P
D01,020-000-032-221,6.3379E17,2.620264,1.849907,0.751216,N
D05,010-000-024-033,6.3379E17,2.807052,1.644107,-0.094909,N
C03,010-000-024-033,6.3379E17,3.240547,0.943871,0.500272,P
B03,020-000-032-221,6.3379E17,1.753525,1.574126,0.878476,N
C01,020-000-033-111,6.3379E17,4.737859,1.81763,0.354871,P
D02,010-000-030-096,6.3379E17,2.961362,2.350063,0.234411,N
D01,020-000-033-111,6.3379E17,2.698104,1.964827,1.454906,N
E01,020-000-032-221,6.3379E17,4.899221,1.164817,0.178417,P
A01,020-000-033-111,6.3379E17,0.431553,2.540763,-0.585586,P
E01,010-000-024-033,6.3379E17,1.848155,1.313169,-0.047297,N
E04,010-000-030-096,6.3379E17,3.916399,2.135861,-0.487977,P
D02,010-000-024-033,6.3379E17,2.630742,1.66141,0.12126,N
E04,010-000-024-033,6.3379E17,3.217494,1.574918,0.342441,P
C01,020-000-033-111,6.3379E17,0.977295,1.516476,1.416553,N
A03,010-000-024-033,6.3379E17,2.614354,2.666103,0.632262,P
E03,010-000-030-096,6.3379E17,1.692494,1.167719,-0.080982,N
C01,010-000-024-033,6.3379E17,3.253956,1.972591,0.182482,N
D04,020-000-033-111,6.3379E17,4.263529,1.380119,0.07652,P
D02,020-000-032-221,6.3379E17,1.594028,1.875635,-0.045723,P
E03,010-000-024-033,6.3379E17,2.05821,1.192623,0.417657,N
D05,020-000-032-221,6.3379E17,3.544557,1.915298,1.083006,N
D02,010-000-024-033,6.3379E17,2.752511,2.131923,0.4884,P
B03,020-000-032-221,6.3379E17,3.997671,1.460706,0.222114,P
B04,020-000-032-221,6.3379E17,1.62346,1.853177,0.753235,N
E03,020-000-033-111,6.3379E17,4.289424,1.462445,0.435052,P
E01,010-000-030-096,6.3379E17,3.975368,1.390332,0.478142,P
D01,020-000-033-111,6.3379E17,3.42238,1.996805,1.297894,N
B04,010-000-030-096,6.3379E17,3.270707,1.135151,0.088029,P
B04,020-000-032-221,6.3379E17,4.070784,1.235268,0.313423,P
C05,010-000-030-096,6.3379E17,1.663509,1.382748,0.020719,N
E01,010-000-030-096,6.3379E17,3.949973,1.206148,0.315142,P
B04,010-000-024-033,6.3379E17,2.8626,2.701256,0.45402,P
A01,020-000-033-111,6.3379E17,0.907377,0.832277,0.402563,P
B05,020-000-032-221,6.3379E17,3.283025,2.234973,1.082153,N
B03,020-000-033-111,6.3379E17,2.851105,1.641922,1.163271,N
B05,010-000-030-096,6.3379E17,2.911592,0.499413,0.19932,P
C01,020-000-033-111,6.3379E17,4.660289,1.456033,-0.11814,P
A01,010-000-030-096,6.3379E17,2.541425,2.160028,0.580353,P
C05,010-000-030-096,6.3379E17,0.910405,1.629161,0.109265,N
E01,010-000-030-096,6.3379E17,4.202195,1.162118,0.445536,P
C03,010-000-024-033,6.3379E17,1.483535,0.740919,-0.154705,P
A03,010-000-024-033,6.3379E17,3.378625,1.307927,0.320805,P
D04,020-000-032-221,6.3379E17,1.634978,2.240061,0.318614,P
A04,020-000-033-111,6.3379E17,4.339312,0.930097,0.6395,P
B04,010-000-024-033,6.3379E17,3.382438,1.105089,0.35714,P
A03,020-000-033-111,6.3379E17,1.068612,2.346809,0.498149,P
D01,020-000-032-221,6.3379E17,3.579125,2.142521,1.170753,P
C02,020-000-032-221,6.3379E17,4.127262,1.117312,0.020677,P
E05,010-000-024-033,6.3379E17,2.884359,2.360419,0.243926,P
B05,020-000-032-221,6.3379E17,4.253891,1.258118,0.118241,P
A03,010-000-030-096,6.3379E17,3.284803,1.413907,0.48512,P
E01,010-000-024-033,6.3379E17,2.329938,1.777645,0.104113,N
B05,020-000-032-221,6.3379E17,2.466706,1.523296,0.68747,N
A01,020-000-033-111,6.3379E17,3.173013,2.115571,1.063512,N
E05,010-000-024-033,6.3379E17,2.901583,2.384239,0.278331,P
B02,010-000-024-033,6.3379E17,3.571511,2.558766,0.398404,N
C05,010-000-024-033,6.3379E17,3.124821,1.970465,0.60369,N
C01,020-000-032-221,6.3379E17,2.976686,2.154395,0.769753,N
D03,010-000-030-096,6.3379E17,1.436208,1.218596,0.009428,N
B03,020-000-032-221,6.3379E17,2.496561,1.460083,0.642076,N
D01,010-000-030-096,6.3379E17,2.887748,0.78267,0.003565,P
E04,010-000-030-096,6.3379E17,2.622542,2.150021,0.455885,P
B03,010-000-030-096,6.3379E17,3.140683,1.533088,0.57313,P
A02,020-000-033-111,6.3379E17,4.903874,1.566376,0.514469,P
C03,010-000-024-033,6.3379E17,1.302536,0.974852,-0.241701,P
E03,010-000-024-033,6.3379E17,2.552101,2.484089,0.363946,P
E01,010-000-030-096,6.3379E17,2.485092,2.19435,0.383424,P
E03,020-000-033-111,6.3379E17,3.414598,2.08965,0.120671,P
A02,020-000-033-111,6.3379E17,2.75861,1.389901,0.433608,P
E03,010-000-030-096,6.3379E17,3.1548,1.769545,-0.091223,P
B03,020-000-033-111,6.3379E17,4.613127,1.318825,0.273596,P
C03,020-000-032-221,6.3379E17,1.627069,2.357457,0.511912,P
B05,010-000-024-033,6.3379E17,2.826453,2.449224,0.457075,P
E05,010-000-030-096,6.3379E17,1.731174,1.098903,0.296051,N
A05,020-000-032-221,6.3379E17,4.326511,0.978617,0.361565,P
E03,020-000-032-221,6.3379E17,1.944585,1.251971,0.859746,N
E05,010-000-024-033,6.3379E17,3.660233,1.729388,0.195169,P
B02,010-000-024-033,6.3379E17,3.453543,1.854744,0.174999,N
B04,020-000-032-221,6.3379E17,3.193766,3.218401,-1.173275,P
C01,010-000-024-033,6.3379E17,0.901701,1.173612,-0.237844,P
B03,010-000-024-033,6.3379E17,2.640995,2.261233,0.410117,P
B04,010-000-030-096,6.3379E17,2.805994,2.242423,0.463412,P
E03,020-000-033-111,6.3379E17,1.158108,2.525042,0.182703,P
B01,020-000-032-221,6.3379E17,4.081629,1.216812,0.280479,P
C01,010-000-030-096,6.3379E17,1.371674,1.320342,0.035014,N
E02,020-000-033-111,6.3379E17,2.339693,1.868346,1.300412,N
C05,020-000-033-111,6.3379E17,1.263925,2.362656,0.285099,P
D01,020-000-032-221,6.3379E17,1.597499,2.119548,0.36387,P
D02,010-000-030-096,6.3379E17,2.929271,1.062508,0.010624,P
C05,010-000-024-033,6.3379E17,5.052141,3.213115,2.261069,N
E02,010-000-024-033,6.3379E17,2.143459,1.981054,0.178504,N
B03,020-000-032-221,6.3379E17,3.75623,1.822051,0.439319,P
D03,020-000-033-111,6.3379E17,1.038519,1.431007,1.53277,N
D03,020-000-032-221,6.3379E17,1.672032,1.943291,0.374496,P
A04,020-000-032-221,6.3379E17,1.643042,1.942426,0.160639,P
E03,010-000-024-033,6.3379E17,2.413115,2.504036,0.616981,P
C05,010-000-024-033,6.3379E17,2.827684,1.92498,-0.145697,N
D05,010-000-024-033,6.3379E17,1.837218,1.658012,0.322364,N
E03,020-000-033-111,6.3379E17,3.299663,1.307271,1.254178,N
D05,020-000-033-111,6.3379E17,1.12092,2.257934,0.449299,P
D02,010-000-030-096,6.3379E17,2.780965,2.290024,0.447835,P
B01,020-000-032-221,6.3379E17,3.360557,1.914894,0.845806,N
E01,020-000-033-111,6.3379E17,1.109816,2.213019,0.051002,P
A04,020-000-033-111,6.3379E17,1.012963,2.317723,0.559868,P
E05,020-000-032-221,6.3379E17,0.993383,1.260116,0.899938,N
E02,010-000-030-096,6.3379E17,3.635676,1.338818,0.252207,P
D05,020-000-033-111,6.3379E17,4.050612,1.599613,0.415766,P
E05,010-000-030-096,6.3379E17,2.111914,1.738569,-0.032227,N
E04,020-000-032-221,6.3379E17,3.682395,2.244768,1.235676,P
E04,010-000-024-033,6.3379E17,2.117827,1.797302,0.232113,N
D03,010-000-024-033,6.3379E17,2.429624,1.729489,0.244431,P
B04,020-000-033-111,6.3379E17,4.762866,1.131465,0.33024,P
C04,020-000-033-111,6.3379E17,1.844214,1.003166,1.095894,N
B05,010-000-030-096,6.3379E17,2.995214,1.139575,0.180402,P
B03,010-000-030-096,6.3379E17,2.711515,1.796852,-0.08721,N
C04,020-000-032-221,6.3379E17,1.733232,2.283274,0.298088,P
B01,010-000-030-096,6.3379E17,3.050516,1.340502,0.306846,P
E02,020-000-032-221,6.3379E17,4.126036,1.979617,1.164787,N
A02,010-000-024-033,6.3379E17,3.56912,1.461039,0.383727,P
D04,010-000-030-096,6.3379E17,2.18955,1.215116,-0.216419,N
C05,010-000-024-033,6.3379E17,2.889586,2.344098,0.450267,P
B02,020-000-032-221,6.3379E17,3.41977,1.501761,0.645956,N
B03,020-000-032-221,6.3379E17,2.085495,1.502612,0.945281,N
C05,010-000-030-096,6.3379E17,1.997127,1.609627,0.308973,N
C02,010-000-030-096,6.3379E17,1.664725,1.650049,0.302329,N
E04,010-000-024-033,6.3379E17,2.788017,2.374796,0.42227,P
D05,010-000-030-096,6.3379E17,2.826599,1.528229,-0.160071,P
D01,020-000-032-221,6.3379E17,3.356989,2.291284,1.09546,P
E02,020-000-032-221,6.3379E17,1.556281,2.449135,0.250142,P
E02,010-000-030-096,6.3379E17,2.542484,2.366142,0.534266,P
E02,010-000-030-096,6.3379E17,4.248919,1.752632,0.341678,N
B02,020-000-032-221,6.3379E17,2.027079,1.855718,1.105564,N
B05,010-000-030-096,6.3379E17,1.606167,1.704909,0.380765,N
D01,020-000-032-221,6.3379E17,4.080933,0.262881,0.093573,P
A02,010-000-024-033,6.3379E17,3.661419,1.401914,0.330485,P
E04,020-000-032-221,6.3379E17,1.85421,2.40294,-0.03369,P
D03,020-000-033-111,6.3379E17,3.34406,2.028219,1.423362,N
C03,010-000-024-033,6.3379E17,2.67087,2.208931,0.441043,P
D03,020-000-033-111,6.3379E17,4.07608,1.30917,0.376886,P
E05,010-000-030-096,6.3379E17,2.638726,2.13785,0.297008,P
B05,020-000-032-221,6.3379E17,4.213998,1.201443,0.261321,P
C04,020-000-033-111,6.3379E17,1.342989,2.207744,0.3314,P
E04,010-000-024-033,6.3379E17,1.718635,1.152426,-0.17549,N
D02,020-000-032-221,6.3379E17,2.439331,1.442236,0.832957,N
A04,020-000-032-221,6.3379E17,1.686201,2.438464,0.326897,P
D02,010-000-030-096,6.3379E17,2.796263,2.024796,0.404642,P
E02,010-000-030-096,6.3379E17,2.54891,2.082043,0.289983,P
C05,020-000-033-111,6.3379E17,1.298076,2.381338,0.239632,P
A05,020-000-032-221,6.3379E17,1.591391,2.233466,0.379585,P
E03,010-000-030-096,6.3379E17,2.570625,2.400923,0.452387,P
C04,010-000-024-033,6.3379E17,2.736357,2.30012,0.199579,P
B05,010-000-030-096,6.3379E17,3.34679,0.897711,0.178536,P
B02,010-000-030-096,6.3379E17,3.557185,1.356111,0.13558,P
C03,020-000-033-111,6.3379E17,4.677912,1.158358,0.438723,P
D05,010-000-030-096,6.3379E17,2.481552,2.318906,0.15237,P
A01,010-000-030-096,6.3379E17,2.971071,2.011626,-0.039551,N
D04,010-000-024-033,6.3379E17,2.710188,1.328902,0.06397,P
D04,010-000-024-033,6.3379E17,2.225783,1.548543,0.059934,N
C03,010-000-024-033,6.3379E17,3.113647,1.113237,0.475318,P
D02,010-000-030-096,6.3379E17,1.985873,1.773851,0.182341,N
B05,020-000-032-221,6.3379E17,4.243616,0.799405,0.420927,P
C05,010-000-030-096,6.3379E17,2.039889,1.632351,0.403226,N
C01,010-000-024-033,6.3379E17,3.174515,1.458659,0.180251,P
